"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2170","Handle nested Frames","firefox","Thu Sep 19 12:36:19 COT 2024","passed","Thu Sep 19 12:36:21 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","7321","Validar redirección a la sección ""Blog""","firefox","Thu Sep 19 12:36:56 COT 2024","failed","Thu Sep 19 12:37:03 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","7221","Validar redirección a la sección ""Blog""","webkit","Thu Sep 19 12:38:17 COT 2024","failed","Thu Sep 19 12:38:25 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","3606","Registrando Info Proveedores y bancos","webkit","Thu Sep 19 12:37:55 COT 2024","passed","Thu Sep 19 12:37:59 COT 2024","","regressionTest/operaciones/06-proveedore_bancos.spec.js","",""
"","30053","Click","firefox","Thu Sep 19 12:35:48 COT 2024","broken","Thu Sep 19 12:36:18 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","1845","Handle nested Frames","webkit","Thu Sep 19 12:37:42 COT 2024","passed","Thu Sep 19 12:37:44 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30163","test","chromium","Thu Sep 19 12:34:27 COT 2024","broken","Thu Sep 19 12:34:57 COT 2024","","regressionTest/crear_cuenta/00-registar_datos_personales.spec.ts","",""
"","2637","Press","firefox","Thu Sep 19 12:36:19 COT 2024","passed","Thu Sep 19 12:36:21 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2689","Handle iFrames in combination with LazySelector","chromium","Thu Sep 19 12:35:03 COT 2024","passed","Thu Sep 19 12:35:05 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30189","Check","webkit","Thu Sep 19 12:37:11 COT 2024","broken","Thu Sep 19 12:37:41 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2127","Click with LazySelector","webkit","Thu Sep 19 12:37:44 COT 2024","passed","Thu Sep 19 12:37:46 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2151","Hover","chromium","Thu Sep 19 12:34:58 COT 2024","passed","Thu Sep 19 12:35:00 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30103","Fill+Type","firefox","Thu Sep 19 12:35:48 COT 2024","broken","Thu Sep 19 12:36:18 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30233","Click","chromium","Thu Sep 19 12:34:30 COT 2024","broken","Thu Sep 19 12:35:00 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
